iter	Passed	Remaining
0	211	105441
1	276	68815
2	337	55904
3	407	50542
4	473	46844
5	535	44127
6	595	41910
7	647	39799
8	678	37003
9	708	34714
10	736	32749
11	762	31024
12	789	29587
13	812	28203
14	837	27073
15	874	26445
16	902	25648
17	927	24849
18	954	24166
19	978	23476
20	1003	22894
21	1031	22402
22	1057	21927
23	1083	21487
24	1111	21120
25	1134	20690
26	1158	20288
27	1180	19906
28	1204	19556
29	1224	19186
30	1249	18902
31	1273	18627
32	1298	18377
33	1316	18042
34	1338	17780
35	1361	17552
36	1385	17334
37	1407	17112
38	1428	16884
39	1449	16663
40	1467	16430
41	1487	16217
42	1509	16040
43	1530	15865
44	1552	15697
45	1568	15483
46	1574	15177
47	1594	15018
48	1615	14868
49	1636	14725
50	1652	14547
